Method,Tag,Confidence (%),LR_ind,p-value (ind),Reject Indep (5%),LR_cc,p-value (CC),Reject CC (5%)
Historical Simulation,HS,90.0,4.6152,0.0317,True,5.7973,0.0551,False
Historical Simulation,HS,95.0,5.2348,0.0221,True,13.7018,0.0011,True
Historical Simulation,HS,99.0,14.5555,0.0001,True,26.1967,0.0,True
Parametric Normal,Normal,90.0,2.4284,0.1192,False,2.4704,0.2908,False
Parametric Normal,Normal,95.0,7.9933,0.0047,True,16.4603,0.0003,True
Parametric Normal,Normal,99.0,10.4723,0.0012,True,87.0968,0.0,True
Parametric Student-t,StudentT,90.0,3.7673,0.0523,False,15.8668,0.0004,True
Parametric Student-t,StudentT,95.0,6.6776,0.0098,True,24.6825,0.0,True
Parametric Student-t,StudentT,99.0,6.114,0.0134,True,36.4411,0.0,True
"GARCH(1,1) Normal",GARCH,90.0,0.0036,0.9523,False,2.4764,0.2899,False
"GARCH(1,1) Normal",GARCH,95.0,0.0451,0.8318,False,22.1817,0.0,True
"GARCH(1,1) Normal",GARCH,99.0,2.4914,0.1145,False,68.2027,0.0,True
