Model,Parameter,Value
Gaussian (H0),mu,0.0009751790287189624
Gaussian (H0),sigma,0.01511195317412056
"GARCH(1,1) (H1)",mu,0.0013658617592872025
"GARCH(1,1) (H1)",omega,9.316163783123593e-06
"GARCH(1,1) (H1)",alpha,0.13583378357202683
"GARCH(1,1) (H1)",beta,0.8220187511386836
"GARCH(1,1) (H1)",persistence,0.9578525347107104
"GARCH(1,1) (H1)",sigma_uncond,0.014867324708303445
"GARCH(1,1) (H1)",loglik,-5103.157547800372
"GARCH(1,1) (H1)",aic,10214.315095600745
"GARCH(1,1) (H1)",bic,10238.361842517255
