T,confidence,alpha,size,power_sim,power_binomial,mean_viol_h1,expected_viol,p1_empirical
125,0.9,0.09999999999999998,0.0533,0.3579,0.11150168792748111,10.1846,12.499999999999996,0.0814768
125,0.95,0.050000000000000044,0.0688,0.3808,0.10499424711676977,5.2778,6.250000000000005,0.0422224
125,0.99,0.010000000000000009,0.0368,0.1319,0.06843223579352808,1.5311,1.250000000000001,0.012248799999999999
250,0.9,0.09999999999999998,0.0551,0.435,0.21042611987757626,20.0122,24.999999999999993,0.0800488
250,0.95,0.050000000000000044,0.0575,0.3858,0.10779307981559616,10.3687,12.50000000000001,0.0414748
250,0.99,0.010000000000000009,0.0991,0.3336,0.08149702061812969,3.011,2.500000000000002,0.012044000000000001
500,0.9,0.09999999999999998,0.0527,0.4927,0.3565105319601558,39.8502,49.999999999999986,0.0797004
500,0.95,0.050000000000000044,0.0525,0.4355,0.1700935484183484,20.7838,25.00000000000002,0.041567599999999996
500,0.99,0.010000000000000009,0.071,0.3377,0.10735057091053098,6.1364,5.000000000000004,0.0122728
750,0.9,0.09999999999999998,0.0525,0.5525,0.49933709455042746,59.6533,74.99999999999999,0.07953773333333333
750,0.95,0.050000000000000044,0.0544,0.4469,0.20434656736565743,31.0684,37.500000000000036,0.04142453333333333
750,0.99,0.010000000000000009,0.042,0.2891,0.08503400661443584,9.1359,7.500000000000007,0.0121812
1000,0.9,0.09999999999999998,0.0433,0.5891,0.5833399327793245,79.8309,99.99999999999997,0.0798309
1000,0.95,0.050000000000000044,0.0521,0.4785,0.26803634688514755,41.5009,50.00000000000004,0.0415009
1000,0.99,0.010000000000000009,0.0551,0.3334,0.11983817643310496,12.2429,10.000000000000009,0.012242900000000001
1500,0.9,0.09999999999999998,0.0485,0.6722,0.7748166726876473,119.642,149.99999999999997,0.07976133333333334
1500,0.95,0.050000000000000044,0.0512,0.5166,0.3695614188107264,62.2091,75.00000000000007,0.04147273333333333
1500,0.99,0.010000000000000009,0.0548,0.356,0.12249747493075012,18.3761,15.000000000000014,0.012250733333333335
2000,0.9,0.09999999999999998,0.056,0.7491,0.8930737361063329,159.3732,199.99999999999994,0.0796866
2000,0.95,0.050000000000000044,0.0512,0.5354,0.4370884760638583,83.0631,100.00000000000009,0.04153155
2000,0.99,0.010000000000000009,0.0451,0.3533,0.1667477350192524,24.7074,20.000000000000018,0.0123537
2893,0.9,0.09999999999999998,0.0529,0.8338,0.9711375839330465,230.5034,289.29999999999995,0.079676253024542
2893,0.95,0.050000000000000044,0.0513,0.5943,0.592473955139223,120.1353,144.65000000000012,0.041526201175250604
2893,0.99,0.010000000000000009,0.0495,0.3903,0.2074988461221065,35.6861,28.930000000000025,0.012335326650535777
